,name,tipo,cmc,lealdade,texto,raridades,preços
169,"Tezzeret, Agent of Bolas",Legendary Planeswalker — Tezzeret,4,Loyalty: 3,"+1: Look at the top five cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in any order.−1: Target artifact becomes an artifact creature with base power and toughness 5/5.−4: Target player loses X life and you gain X life, where X is twice the number of artifacts you control.",Mítica,R$ 79.63 
170,Gideon Blackblade,Legendary Planeswalker — Gideon,3,Loyalty: 4,"As long as it’s your turn, Gideon Blackblade is a 4/4 Human Soldier creature with indestructible that’s still a planeswalker.Prevent all damage that would be dealt to Gideon Blackblade during your turn.+1: Up to one other target creature you control gains your choice of vigilance, lifelink, or indestructible until end of turn.−6: Exile target nonland permanent.",Mítica,R$ 6.19 
171,"Nicol Bolas, Dragon-God",Legendary Planeswalker — Bolas,5,Loyalty: 4,"Nicol Bolas, Dragon-God has all loyalty abilities of all other planeswalkers on the battlefield.+1: You draw a card. Each opponent exiles a card from their hand or a permanent they control.−3: Destroy target creature or planeswalker.−8: Each opponent who doesn’t control a legendary creature or planeswalker loses the game.",Mítica,R$ 20.90 
172,"Domri, Chaos Bringer",Legendary Planeswalker — Domri,4,Loyalty: 5,"+1: Add {R} or {G}. If that mana is spent on a creature spell, it gains riot. (It enters the battlefield with your choice of a +1/+1 counter or haste.)−3: Look at the top four cards of your library. You may reveal up to two creature cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order.−8: You get an emblem with “At the beginning of each end step, create a 4/4 red and green Beast creature token with trample.”",Mítica,R$ 2.25 
173,Serra the Benevolent,Legendary Planeswalker — Serra,4,Loyalty: 4,"+2: Creatures you control with flying get +1/+1 until end of turn.−3: Create a 4/4 white Angel creature token with flying and vigilance.−6: You get an emblem with “If you control a creature, damage that would reduce your life total to less than 1 reduces it to 1 instead.”",Mítica,R$ 49.75 
174,Archangel Elspeth,Legendary Planeswalker — Elspeth,4,Loyalty: 4,+1: Create a 1/1 white Soldier creature token with lifelink.−2: Put two +1/+1 counters on target creature. It becomes an Angel in addition to its other types and gains flying.−6: Return all nonland permanent cards with mana value 3 or less from your graveyard to the battlefield.,Mítica,R$ 25.00 
175,"Chandra, Hope's Beacon",Legendary Planeswalker — Chandra,6,Loyalty: 5,"Whenever you cast an instant or sorcery spell, copy it. You may choose new targets for the copy. This ability triggers only once each turn.+2: Add two mana in any combination of colors.+1: Exile the top five cards of your library. Until the end of your next turn, you may cast an instant or sorcery spell from among those exiled cards.−X: Chandra, Hope’s Beacon deals X damage to each of up to two targets.",Mítica,R$ 49.90 
176,Wrenn and Realmbreaker,Legendary Planeswalker — Wrenn,3,Loyalty: 4,"Lands you control have “{T}: Add one mana of any color.”+1: Up to one target land you control becomes a 3/3 Elemental creature with vigilance, hexproof, and haste until your next turn. It’s still a land.−2: Mill three cards. You may put a permanent card from among the milled cards into your hand.−7: You get an emblem with “You may play lands and cast permanent spells from your graveyard.”",Mítica,R$ 34.95 
177,Elspeth Tirel,Legendary Planeswalker — Elspeth,5,Loyalty: 4,+2: You gain 1 life for each creature you control.−2: Create three 1/1 white Soldier creature tokens.−5: Destroy all other permanents except for lands and tokens.,Mítica,R$ 6.89 
178,The Eternal Wanderer,Legendary Planeswalker,6,Loyalty: 5,"No more than one creature can attack The Eternal Wanderer each combat.+1: Exile up to one target artifact or creature. Return that card to the battlefield under its owner’s control at the beginning of that player’s next end step.0: Create a 2/2 white Samurai creature token with double strike.−4: For each player, choose a creature that player controls. Each player sacrifices all creatures they control not chosen this way.",Rara,R$ 12.35 
179,"Jace, the Perfected Mind",Legendary Planeswalker — Jace,4,Loyalty: 5,"Compleated ({U/P} can be paid with {U} or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)+1: Until your next turn, up to one target creature gets -3/-0.−2: Target player mills three cards. Then if a graveyard has twenty or more cards in it, you draw three cards. Otherwise, you draw a card.−X: Target player mills three times X cards.",Mítica,R$ 31.99 
180,"Vraska, Betrayal's Sting",Legendary Planeswalker — Vraska,6,Loyalty: 6,"Compleated ({B/P} can be paid with {B} or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)0: You draw a card and you lose 1 life. Proliferate.−2: Target creature becomes a Treasure artifact with “{T}, Sacrifice this artifact: Add one mana of any color” and loses all other card types and abilities.−9: If target player has fewer than nine poison counters, they get a number of poison counters equal to the difference.",Mítica,R$ 329.00 
181,"Koth, Fire of Resistance",Legendary Planeswalker — Koth,4,Loyalty: 4,"+2: Search your library for a basic Mountain card, reveal it, put it into your hand, then shuffle.−3: Koth, Fire of Resistance deals damage to target creature equal to the number of Mountains you control.−7: You get an emblem with “Whenever a Mountain enters the battlefield under your control, this emblem deals 4 damage to any target.”",Rara,R$ 25.00 
182,"Nissa, Ascended Animist",Legendary Planeswalker — Nissa,7,Loyalty: 7,"Compleated ({G/P} can be paid with {G} or 2 life. For each {G/P} paid with life, this planeswalker enters with two fewer loyalty counters.)+1: Create an X/X green Phyrexian Horror creature token, where X is Nissa, Ascended Animist’s loyalty.−1: Destroy target artifact or enchantment.−7: Until end of turn, creatures you control get +1/+1 for each Forest you control and gain trample.",Mítica,R$ 89.25 
183,"Kaito, Dancing Shadow",Legendary Planeswalker — Kaito,4,Loyalty: 3,"Whenever one or more creatures you control deal combat damage to a player, you may return one of them to its owner’s hand. If you do, you may activate loyalty abilities of Kaito twice this turn rather than only once.+1: Up to one target creature can’t attack or block until your next turn.0: Draw a card.−2: Create a 2/2 colorless Drone artifact creature token with deathtouch and “When this creature leaves the battlefield, each opponent loses 2 life and you gain 2 life.”",Rara,R$ 4.63 
184,"Kaya, Intangible Slayer",Legendary Planeswalker — Kaya,7,Loyalty: 6,"Hexproof+2: Each opponent loses 3 life and you gain 3 life.0: You draw two cards. Then each opponent may scry 1.−3: Exile target creature or enchantment. If it wasn’t an Aura, create a token that’s a copy of it, except it’s a 1/1 white Spirit creature with flying in addition to its other types.",Rara,R$ 13.66 
185,"Lukka, Bound to Ruin",Legendary Planeswalker — Lukka,5,Loyalty: 5,"Compleated ({R/G/P} can be paid with {R}, {G}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)+1: Add {R}{G}. Spend this mana only to cast creature spells or activate abilities of creatures.−1: Create a 3/3 green Phyrexian Beast creature token with toxic 1.−4: Lukka deals X damage divided as you choose among any number of target creatures and/or planeswalkers, where X is the greatest power among creatures you controlled as you activated this ability.",Mítica,R$ 13.71 
186,"Nahiri, the Unforgiving",Legendary Planeswalker — Nahiri,4,Loyalty: 5,"Compleated ({R/W/P} can be paid with {R}, {W}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)+1: Until your next turn, up to one target creature attacks a player each combat if able.+1: Discard a card, then draw a card.0: Exile target creature or Equipment card with mana value less than Nahiri’s loyalty from your graveyard. Create a token that’s a copy of it. That token gains haste. Exile it at the beginning of the next end step.",Mítica,R$ 9.14 
187,"Tyvar, Jubilant Brawler",Legendary Planeswalker — Tyvar,3,Loyalty: 3,"You may activate abilities of creatures you control as though those creatures had haste.+1: Untap up to one target creature.−2: Mill three cards, then you may return a creature card with mana value 2 or less from your graveyard to the battlefield.",Rara,R$ 17.00 
188,"Teferi, Timebender",Legendary Planeswalker — Teferi,6,Loyalty: 5,+2: Untap up to one target artifact or creature.−3: You gain 2 life and draw two cards.−9: Take an extra turn after this one.,Mítica,R$ 4.64 
189,Karn,Legendary Planeswalker — Karn,0,Loyalty: 4,"+1: Create a tapped Powerstone token. (It’s an artifact with “{T}: Add {C}. This mana can’t be spent to cast a nonartifact spell.”)0: Pay any amount of mana. Look at that many cards from the top of your library, then put one of those cards into your hand and the rest on the bottom of your library in a random order.−6: You get an emblem with “Tap an untapped artifact you control: This emblem deals 1 damage to any target.”",Special,R$ 69.99 
190,"Vraska, Scheming Gorgon",Legendary Planeswalker — Vraska,6,Loyalty: 5,"+2: Creatures you control get +1/+0 until end of turn.−3: Destroy target creature.−10: Until end of turn, creatures you control gain deathtouch and “Whenever this creature deals damage to an opponent, that player loses the game.”",Mítica,R$ 14.99 
191,"Angrath, Minotaur Pirate",Legendary Planeswalker — Angrath,6,Loyalty: 5,"+2: Angrath, Minotaur Pirate deals 1 damage to target opponent or planeswalker and each creature that player or that planeswalker’s controller controls.−3: Return target Pirate card from your graveyard to the battlefield.−11: Destroy all creatures target opponent controls. Angrath, Minotaur Pirate deals damage to that player equal to their total power.",Mítica,R$ 14.61 
192,"Dovin, Grand Arbiter",Legendary Planeswalker — Dovin,3,Loyalty: 3,"+1: Until end of turn, whenever a creature you control deals combat damage to a player, put a loyalty counter on Dovin, Grand Arbiter.−1: Create a 1/1 colorless Thopter artifact creature token with flying. You gain 1 life.−7: Look at the top ten cards of your library. Put three of them into your hand and the rest on the bottom of your library in a random order.",Mítica,R$ 1.47 
193,"Dovin, Architect of Law",Legendary Planeswalker — Dovin,6,Loyalty: 5,+1: You gain 2 life and draw a card.−1: Tap target creature. It doesn’t untap during its controller’s next untap step.−9: Tap all permanents target opponent controls. That player skips their next untap step.,Mítica,R$ 15.57 
194,"Domri, City Smasher",Legendary Planeswalker — Domri,6,Loyalty: 4,"+2: Creatures you control get +1/+1 and gain haste until end of turn.−3: Domri, City Smasher deals 3 damage to any target.−8: Put three +1/+1 counters on each creature you control. Those creatures gain trample until end of turn.",Mítica,R$ 5.84 
195,"Ashiok, Sculptor of Fears",Legendary Planeswalker — Ashiok,6,Loyalty: 4,+2: Draw a card. Each player mills two cards.−5: Put target creature card from a graveyard onto the battlefield under your control.−11: Gain control of all creatures target opponent controls.,Mítica,R$ 12.75 
196,"Ashiok, Nightmare Weaver",Legendary Planeswalker — Ashiok,3,Loyalty: 3,"+2: Exile the top three cards of target opponent’s library.−X: Put a creature card with mana value X exiled with Ashiok, Nightmare Weaver onto the battlefield under your control. That creature is a Nightmare in addition to its other types.−10: Exile all cards from all opponents’ hands and graveyards.",Mítica,R$ 7.90 
197,"Jace, Ingenious Mind-Mage",Legendary Planeswalker — Jace,6,Loyalty: 5,+1: Draw a card.+1: Untap all creatures you control.−9: Gain control of up to three target creatures.,Mítica,R$ 10.50 
198,"Huatli, Dinosaur Knight",Legendary Planeswalker — Huatli,6,Loyalty: 4,+2: Put two +1/+1 counters on up to one target Dinosaur you control.−3: Target Dinosaur you control deals damage equal to its power to target creature you don’t control.−7: Dinosaurs you control get +4/+4 until end of turn.,Mítica,R$ 5.03 
199,Chandra Ablaze,Legendary Planeswalker — Chandra,6,Loyalty: 5,"+1: Discard a card. If a red card is discarded this way, Chandra Ablaze deals 4 damage to any target.−2: Each player discards their hand, then draws three cards.−7: Cast any number of red instant and/or sorcery cards from your graveyard without paying their mana costs.",Mítica,R$ 6.80 
